Step_EOC,Value_EOC,Step_OC,Value_OC
2552,0,6147,1
2554,0,6149,1
2557,0,6172,1
2560,0,6181,1
2566,0,6184,1
2567,0,6200,1
2571,0,6211,1
2574,0,6213,1
2577,0,6219,1
2579,0,6232,1
2588,0,6237,1
2591,0,6244,1
2592,0,6250,1
2593,0,6263,1
2594,0,6289,1
2597,0,6312,1
2601,0,6316,1
2607,0,6317,1
2608,0,6324,1
2611,0,6341,1
2619,0,6352,1
2624,0,6363,1
2627,0,6370,1
2630,0,6376,1
2631,0,6400,1
2633,0,6455,1
2636,0,6459,1
2637,0,6472,1
2639,0,6487,1
2645,0,6495,1
2648,0,6496,1
2651,0,6500,1
2652,0,6510,1
2656,0,6520,1
2675,0,6521,1
2679,1,6522,1
2681,0,6530,1
2686,0,6550,1
2691,0,6574,1
2700,1,6581,1
2704,0,6584,1
2708,0,6594,1
2711,0,6603,1
2726,0,6606,1
2737,0,6616,1
2738,0,6621,1
2741,0,6657,1
2747,0,6666,1
2754,0,6668,1
2755,0,6672,1
2756,0,6678,1
2757,0,6681,1
2758,0,6688,1
2759,0,6696,1
2767,0,6699,1
2790,0,6707,1
2791,0,6711,1
2792,0,6738,1
2799,0,6742,1
2810,0,6749,1
2812,0,6753,1
2824,0,6764,1
2825,0,6776,1
2828,0,6817,1
2830,0,6832,1
2831,0,6846,1
2833,0,6854,1
2852,0,6868,1
2857,0,6869,1
2860,0,6895,1
2863,0,6909,1
2872,0,6934,1
2873,0,6951,1
2879,0,6963,0
2881,0,6966,1
2882,0,6972,1
2888,0,6990,1
2891,0,6992,1
2892,0,7010,1
2897,0,7014,1
2899,0,7039,0
2901,0,7046,1
2904,0,7059,0
2905,0,7065,1
2913,0,7091,1
2918,0,7106,1
2920,0,7114,1
2921,0,7115,1
2922,0,7137,1
2933,0,7141,1
2943,0,7155,1
2951,0,7167,1
2968,0,7168,1
2973,0,7175,1
2975,0,7189,1
2976,0,7195,1
2979,0,7204,1
2989,0,7213,1
2995,0,7215,1
2999,0,7216,1
3004,0,7235,1
3006,0,7238,1
3008,0,7247,1
3010,0,7260,1
3012,0,7284,1
3016,0,7300,1
3017,0,7311,1
3020,0,7329,1
3022,0,7339,1
3026,0,7340,1
3028,0,7346,1
3031,0,7353,1
3032,0,7357,1
3034,0,7358,1
3039,0,7359,1
3041,0,7381,0
3042,0,7382,1
3043,0,7386,1
3051,0,7388,1
3063,0,7397,1
3066,0,7401,1
3068,1,7430,0
3070,0,7431,1
3072,0,7440,1
3074,0,7443,1
3083,0,7450,1
3087,0,7460,1
3089,0,7461,1
3092,0,7463,1
3100,0,7468,1
3104,0,7474,0
3108,0,7478,1
3114,0,7480,1
3123,0,7496,1
3128,0,7502,1
3135,0,7503,1
3138,0,7511,1
3139,0,7530,1
3145,0,7547,1
3146,0,7573,1
3148,0,7596,1
3151,0,7609,1
3156,0,7612,0
3159,0,7643,1
3160,0,7644,1
3162,0,7660,1
3178,0,7661,1
3185,0,7671,1
3188,0,7674,1
3189,1,7676,1
3196,0,7687,1
3197,0,7693,1
3198,0,7696,1
3199,1,7700,0
3204,0,7718,1
3207,0,7719,1
3231,1,7723,1
3234,0,7726,1
3236,0,7728,1
3241,1,7742,1
3244,1,7746,1
3245,1,7757,1
3247,1,7760,1
3248,1,7780,1
3255,0,7788,1
3257,0,7798,1
3259,0,7799,1
3268,0,7810,1
3273,1,7833,1
3282,1,7838,1
3284,1,7855,1
3286,1,7899,1
3290,1,7900,1
3293,1,7904,1
3306,0,7908,1
3307,0,7926,1
3308,0,7932,1
3314,1,7975,1
3322,0,7983,1
3328,0,7991,1
3329,0,7992,1
3330,0,8009,1
3334,0,8022,1
3339,0,8026,1
3346,1,8037,1
3354,1,8049,1
3358,1,8052,1
3362,1,8054,1
3364,1,8058,0
3370,1,8066,1
3373,1,8126,1
3375,0,8132,1
3377,0,8133,1
3379,1,8150,1
3382,1,8157,1
3384,0,8180,1
3387,1,8184,1
3399,0,8195,1
3404,0,8198,1
3405,1,8215,1
3409,1,8221,1
3416,1,8234,1
3427,1,8254,1
3430,1,8263,0
3431,1,8279,0
3434,1,8281,1
3439,0,8290,1
3445,0,8299,1
3446,0,8307,1
3450,0,8327,1
3452,1,8329,1
3458,1,8332,1
3459,1,8334,1
3465,1,8340,1
3472,1,8352,1
3478,0,8353,1
3481,0,8360,1
3487,1,8363,1
3498,1,8368,1
3500,0,8375,1
3501,1,8377,1
3506,0,8428,1
3507,0,8439,1
3510,0,8442,1
3512,1,8447,1
3513,1,8463,1
3515,1,8467,0
3520,1,8468,1
3530,0,8470,0
3536,0,8480,1
3538,1,8484,1
3539,1,8488,1
3543,0,8497,1
3544,1,8498,1
3548,1,8503,1
3550,1,8507,1
3556,1,8508,1
3557,0,8523,1
3560,1,8554,1
3564,1,8566,1
3576,1,8573,1
3581,1,8578,1
3582,1,8592,1
3584,1,8601,1
3593,1,8616,1
3594,1,8627,1
3600,0,8634,1
3601,1,8635,1
3615,1,8644,1
3619,0,8682,1
3621,0,8685,1
3623,1,8687,1
3626,0,8690,1
3629,1,8691,1
3638,1,8695,1
3644,1,8727,1
3646,1,8741,1
3657,0,8768,1
3658,0,8774,1
3664,1,8778,1
3671,1,8796,1
3695,1,8801,1
3696,1,8816,1
3698,1,8819,1
3701,1,8822,1
3703,1,8843,1
3724,1,8854,1
3727,1,8867,1
3731,1,8868,1
3732,1,8878,1
3733,1,8881,1
3735,1,8885,1
3739,1,8902,1
3742,0,8904,1
3744,1,8907,1
3746,1,8928,1
3753,1,8930,1
3757,1,8935,1
3760,0,8946,1
3765,0,8954,1
3773,1,8958,1
3777,1,8975,1
3779,1,8981,1
3781,1,8991,1
3782,1,8993,1
3788,1,8999,1
3792,0,9004,1
3794,1,9009,1
3796,1,9012,1
3799,1,9027,1
3808,0,9028,1
